"Gene1" "Gene2" "coef"
"NA" NA NA 47.5098322300649
"V268" "ADCY5" "GNAO1" -2.37576853253514
"V1451" "CAV1" "IGFBP3" -11.4181638974659
"V5339" "IGFBP3" "CAV1" -11.4369634655434
"V4685" "HIST1H2BK" "PSMC3IP" 4.097491383859
"V5065" "HSPA2" "NUP214" 3.58699950376649
"V4625" "HDAC8" "HIST1H2BK" 11.5072086166948
"V4678" "HIST1H2BK" "HDAC8" 11.657804331288
"V2934" "DNAJB4" "HSPA1L" 24.1440580104342
"V4406" "H2AFX" "HIST1H4I" 42.5453308570368
"V1448" "CAV1" "ABCB1" -5.5444291322696
"V5382" "IL1RL1" "MYD88" -26.5883913146907
"V1667" "CD248" "PDGFRB" -40.7814036634356
"V3195" "EFNA1" "FLT4" -16.4124615056483
"V3812" "FLT4" "EFNA1" -16.4795945538471
"V2417" "CXCL12" "MMP2" -11.4222592426676
"V4474" "HBEGF" "MMP2" -0.579442509574369
"V5934" "KRAS" "AREG" -23.044660579718
"V4897" "HOGA1" "GRHPR" -26.173161017674
"V4700" "HIST1H4I" "N6AMT1" 8.34966805192795
"V414" "AKT1" "RHOB" -16.5119118783253
"V3796" "FKBPL" "EGFL8" -1.03529359000825
"V3500" "EPHB4" "RASA1" 32.5784290051225
"V1696" "CD69" "S1PR1" -17.9691457076073
"V3225" "EI24" "TP53I3" -7.57462597235665
"V5572" "IRS1" "PIK3R1" -7.05163483246907
"V1232" "BTG2" "EGR1" -1.95543416943458
"V3207" "EGR1" "BTG2" -2.08872871576815
"V528" "ANXA7" "CD9" 9.29648687210961
"V1705" "CD9" "ANXA7" 9.19670926327356
"V4740" "HK1" "HK2" -19.6947997558754
"V4746" "HK2" "HK1" -19.7047352263219
"V4110" "GNA11" "GNG11" 3.45109156171891
"V3896" "FZR1" "UBE2D1" 1.77125364905436
"V2411" "CXCL12" "CXCL14" -9.1841579754351
"V6176" "LUM" "OMD" 8.63064491629533
