"Gene1" "Gene2" "coef"
"NA" NA NA 53.6689796199024
"V4734" "HIST2H2BE" "SAP30L" -9.97338200060773
"V5719" "JUN" "MYC" -28.0212939633805
"V1185" "BRCA1" "JUN" -3.54220942159128
"V5694" "JUN" "ELK1" -21.2417647409546
"V5715" "JUN" "MED1" -0.503713113291751
"V904" "ATP6V0C" "LAMTOR1" -12.6377418294882
"V302" "ADSL" "PDE4A" -4.50663432403263
"V1918" "CHDH" "PISD" 5.8642394503711
"V5717" "JUN" "MT-CO2" -5.89521083001839
"V5718" "JUN" "MTA3" -16.7421368739622
"V3020" "DUSP2" "MAPK9" -10.7762791646899
"V6454" "MAPK9" "DUSP2" -11.0497801342599
"V5668" "JAZF1" "HHEX" -33.9180563141609
"V3606" "EXOSC3" "SUPV3L1" -27.0697790218491
"V3019" "DUSP2" "MAPK12" -8.39611697125031
"V4643" "HES1" "BHLHE40" -10.2529998281897
"V3746" "FCGR3A" "MNDA" -0.937335424865655
"V1694" "CD69" "CD38" -37.8518045792065
"V4663" "HIPK2" "SUMO1" -36.4377146920348
"V1098" "BCL2L2" "CYCS" -50.1556315785344
"V4289" "GRSF1" "SUPV3L1" -1.84757527579223
"V2652" "DDX24" "BMS1" -17.6562375336701
"V2677" "DDX24" "NOP14" -25.2808085009635
"V2638" "DDX10" "WDR3" -13.9511836915326
